"Curve Label"	"Curve Conductor"	"Level"	"Norm"	"Discriminant"	"Newform"	"Polynomial"
"58a1"	58	29	2	8	"(a0, -a0, -1, 2*a0 + 2, a0 + 2, 2*a0 + 1)"	"x^2 + 2*x - 1"
"14a1"	14	35	2	17	"(a1, -a1 - 1, 1, -1, a1 + 1, a1 + 3)"	"x^2 + x - 4"
"35a1"	35	35	2	17	"(a1, -a1 - 1, 1, -1, a1 + 1, a1 + 3)"	"x^2 + x - 4"
"14a1"	14	39	2	8	"(a1, 1, -2*a1 - 2, 2*a1 + 2, -2, -1)"	"x^2 + 2*x - 1"
"14a1"	14	41	2	148	"(a0, -1/2*a0^2 - a0 + 3/2, -a0 - 1, 1/2*a0^2 + a0 + 1/2, 3/2*a0^2 + a0 - 9/2, -a0^2 + 3)"	"x^3 + x^2 - 5*x - 1"
"43a1"	43	43	2	8	"(a1, -a1, -a1 + 2, a1 - 2, 2*a1 - 1, 2*a1 + 1)"	"x^2 - 2"
"14a1"	14	51	2	17	"(a1, -1, -a1 + 1, 0, -a1 - 1, a1 + 3)"	"x^2 + x - 4"
"51a1"	51	51	2	17	"(a1, -1, -a1 + 1, 0, -a1 - 1, a1 + 3)"	"x^2 + x - 4"
"53a1"	53	53	2	148	"(a1, -a1^2 - a1 + 3, a1^2 - 3, a1^2 - 1, a1^2 + 2*a1 - 3, 1)"	"x^3 + x^2 - 3*x - 1"
"14a1"	14	55	2	8	"(a1, -2*a1 + 2, -1, -2, 1, 2*a1 - 6)"	"x^2 - 2*x - 1"
"118a1"	118	59	2	138136	"(a0, -1/4*a0^4 + 5/4*a0^2 - 1/2*a0, 3/4*a0^4 + 1/2*a0^3 - 23/4*a0^2 - 3*a0 + 7, -1/2*a0^4 - 1/2*a0^3 + 7/2*a0^2 + 3/2*a0 - 3, -1/2*a0^4 - a0^3 + 9/2*a0^2 + 6*a0 - 8, -1/2*a0^4 - a0^3 + 9/2*a0^2 + 6*a0 - 6)"	"x^5 - 9*x^3 + 2*x^2 + 16*x - 8"
"61a1"	61	61	2	148	"(a1, -a1^2 + 3, a1^2 - 2*a1 - 2, a1^2 - a1 - 3, a1 + 4, -2*a1^2 + 2*a1 + 1)"	"x^3 - x^2 - 3*x + 1"
"14a1"	14	62	2	12	"(-1, -1/2*a1 - 1/2, a1 + 3, 2, -1/2*a1 - 9/2, 3/2*a1 + 7/2)"	"x^2 + 6*x - 3"
"14a1"	14	63	2	12	"(a1, 0, -2*a1, 1, 2*a1, 2)"	"x^2 - 3"
"14a1"	14	65	2	12	"(a2, -a2 + 1, -1, 2, a2 - 3, 1)"	"x^2 - 3"
"14a1"	14	65	2	8	"(a1, a1 + 1, 1, -2*a1, -a1 + 1, -1)"	"x^2 + 2*x - 1"
"14a1"	14	68	2	12	"(0, 1/2*a0, -a0 + 2, -1/2*a0, 1/2*a0 - 4, a0)"	"x^2 - 4*x - 8"
"79a1"	79	79	2	81589	"(a1, -a1^4 + a1^3 + 3*a1^2 - 3*a1 + 1, a1^4 - 4*a1^2 - a1 + 3, a1^4 - a1^3 - 5*a1^2 + 3*a1 + 3, -a1^4 - 2*a1^3 + 6*a1^2 + 7*a1 - 6, a1^3 + a1^2 - 2*a1 - 3)"	"x^5 - 6*x^3 + 8*x - 1"
"162a1"	162	81	2	12	"(a0, 0, -a0, 2, -2*a0, -1)"	"x^2 - 3"
"14a1"	14	82	2	8	"(1, a1 - 1, -2*a1 + 2, -a1 - 1, 3*a1 - 3, 0)"	"x^2 - 2*x - 1"
"83a1"	83	83	2	9059636	"(a1, 1/2*a1^4 - 1/2*a1^3 - 7/2*a1^2 + 3/2*a1 + 4, -1/2*a1^5 - 1/2*a1^4 + 9/2*a1^3 + 7/2*a1^2 - 8*a1 - 2, 3/4*a1^5 - 1/4*a1^4 - 25/4*a1^3 + 3/4*a1^2 + 19/2*a1, -1/4*a1^5 + 1/4*a1^4 + 5/4*a1^3 + 1/4*a1^2 - 4, a1^3 - 5*a1 + 2)"	"x^6 - x^5 - 9*x^4 + 7*x^3 + 20*x^2 - 12*x - 8"
"14a1"	14	85	2	12	"(a2, -a2 + 1, 1, a2 - 1, -a2 + 3, -4)"	"x^2 - 3"
"14a1"	14	85	2	8	"(a1, -a1 - 3, -1, a1 - 1, a1 - 3, -2*a1 - 2)"	"x^2 + 2*x - 1"
"14a1"	14	87	2	229	"(a1, -1, -2*a1^2 + 8, a1^2 - a1 - 2, a1^2 - a1 - 6, -a1^2 - a1 + 6)"	"x^3 - 2*x^2 - 4*x + 7"
