Discriminant,Prime_Divisors,Defining Polynomial,# of Curves Found,Obstructed
-17328,"[2, 3, 19]",x^4 - 2*x^3 + 2*x^2 + 10*x + 1,0,
-19200,"[2, 3, 5]",x^4 - 4*x^2 - 4*x + 2,0,
-37632,"[2, 3, 7]",x^4 + 2*x^2 - 8*x - 19,0,
-55488,"[2, 3, 17]",x^4 - 2*x^3 + 5*x^2 + 6*x - 15,0,
-58800,"[2, 3, 5, 7]",x^4 + x^2 - 6*x - 3,0,
-58800,"[2, 3, 5, 7]",x^4 + 2*x^2 - 20*x - 19,0,
-71148,"[2, 3, 7, 11]",x^4 - x^3 - 10*x^2 + 12*x + 12,0,
-92928,"[2, 3, 11]",x^4 + 4*x^2 - 12*x + 6,0,
-97200,"[2, 3, 5]",x^4 - 2*x^3 - 9*x^2 - 10*x + 5,0,
-102675,"[3, 5, 37]",x^4 - 2*x^3 - 4*x^2 - 5*x - 5,0,
-145200,"[2, 3, 5, 11]",x^4 - 2*x^3 - 2*x^2 - 30*x + 38,0,
-172800,"[2, 3, 5]",x^4 - 12*x^2 - 20*x + 6,0,
-199692,"[2, 3, 43]",x^4 - x^3 - 16*x - 2,0,
-202800,"[2, 3, 5, 13]",x^4 - 2*x^3 - 10*x^2 - 20*x - 20,0,
-202800,"[2, 3, 5, 13]",x^4 - 2*x^3 + 2*x^2 + 4*x - 11,0,
-221952,"[2, 3, 17]",x^4 - 10*x^2 - 16*x - 31,0,
-245388,"[2, 3, 11, 13]",x^4 - x^3 - 4*x^2 - 24*x + 48,0,
-245388,"[2, 3, 11, 13]",x^4 - 10*x^2 - 26*x - 1,0,
-262848,"[2, 3, 37]",x^4 + 14*x^2 - 8*x - 4,0,
-277248,"[2, 3, 19]",x^4 - 4*x^2 - 8*x + 5,0,
-326700,"[2, 3, 5, 11]",x^4 - x^3 - 6*x^2 + 10*x - 10,0,
-346800,"[2, 3, 5, 17]",x^4 - 2*x^3 - 10*x^2 + 6*x - 51,0,
