Data for fields of degree 3 of conductor < 10000 with curves having conductor between 11 and 11
Curve label          ZZ(#Sha(E/K))        #Sha(E/K)            ell_chi              Field conductor      Field degree        
11a1                 25                   25.0000              25.0000              7                    3
11a1                 100                  100.0000             100.0000             13                   3
11a1                 4                    4.0000               100.0000             19                   3
11a1                 25                   25.0000              25.0000              31                   3
11a1                 16                   16.0000              400.0000             37                   3
11a1                 1                    1.0000               25.0000              43                   3
11a1                 4                    4.0000               100.0000             61                   3
11a1                 225                  225.0000             225.0000             67                   3
11a1                 25                   25.0000              25.0000              73                   3
11a1                 225                  225.0000             225.0000             79                   3
11a1                 900                  900.0000             900.0000             97                   3
11a1                 900                  900.0000             900.0000             103                  3
11a1                 25                   25.0000              25.0000              109                  3
11a1                 225                  225.0000             225.0000             127                  3
11a1                 25                   25.0000              25.0000              139                  3
11a1                 0                    -0.0000              -0.0000              151                  3
11a1                 0                    0.0000               0.0000               157                  3
11a1                 6400                 6400.0000            6400.0000            163                  3
11a1                 2500                 2500.0000            2500.0000            181                  3
11a1                 1                    1.0000               25.0000              193                  3
11a1                 121                  121.0000             3025.0000            199                  3
11a1                 289                  289.0000             7225.0000            211                  3
11a1                 25                   25.0000              25.0000              223                  3
11a1                 16                   16.0000              400.0000             229                  3
11a1                 3025                 3025.0000            3025.0000            241                  3
11a1                 2025                 2025.0000            2025.0000            271                  3
11a1                 100                  100.0000             100.0000             277                  3
11a1                 25                   25.0000              25.0000              283                  3
11a1                 0                    -0.0000              -0.0000              307                  3
11a1                 900                  900.0000             900.0000             313                  3
11a1                 1600                 1600.0000            1600.0000            331                  3
11a1                 36                   36.0000              900.0000             337                  3
11a1                 49                   49.0000              1225.0000            349                  3
11a1                 1600                 1600.0000            1600.0000            367                  3
11a1                 1225                 1225.0000            1225.0000            373                  3
11a1                 4900                 4900.0000            4900.0000            379                  3
11a1                 100                  100.0000             100.0000             397                  3
11a1                 961                  961.0000             24025.0000           409                  3
11a1                 10000                10000.0000           10000.0000           421                  3
11a1                 100                  100.0000             100.0000             433                  3
11a1                 25                   25.0000              25.0000              439                  3
11a1                 16                   16.0000              400.0000             457                  3
11a1                 4225                 4225.0000            4225.0000            463                  3
11a1                 900                  900.0000             900.0000             487                  3
11a1                 225                  225.0000             225.0000             499                  3
11a1                 9                    9.0000               225.0000             523                  3
11a1                 1600                 1600.0000            1600.0000            541                  3
11a1                 2025                 2025.0000            2025.0000            547                  3
11a1                 0                    -0.0000              -0.0000              571                  3
11a1                 1                    1.0000               25.0000              577                  3
11a1                 2025                 2025.0000            2025.0000            601                  3
11a1                 225                  225.0000             225.0000             607                  3
11a1                 225                  225.0000             225.0000             613                  3
11a1                 11025                11025.0000           11025.0000           619                  3
11a1                 4225                 4225.0000            4225.0000            631                  3
11a1                 0                    -0.0000              -0.0000              643                  3
11a1                 2500                 2500.0000            2500.0000            661                  3
11a1                 2025                 2025.0000            2025.0000            673                  3
11a1                 225                  225.0000             225.0000             691                  3
11a1                 27225                27225.0000           27225.0000           709                  3
11a1                 1                    1.0000               25.0000              727                  3
11a1                 25                   25.0000              625.0000             733                  3
11a1                 3600                 3600.0000            3600.0000            739                  3
11a1                 100                  100.0000             100.0000             751                  3
11a1                 8100                 8100.0000            8100.0000            757                  3
11a1                 225                  225.0000             225.0000             769                  3
11a1                 4225                 4225.0000            4225.0000            787                  3
11a1                 25                   25.0000              25.0000              811                  3
11a1                 64                   64.0000              1600.0000            823                  3
11a1                 1                    1.0000               25.0000              829                  3
11a1                 900                  900.0000             900.0000             853                  3
11a1                 1681                 1681.0000            42025.0000           859                  3
11a1                 196                  196.0000             4900.0000            877                  3
11a1                 15625                15625.0000           15625.0000           883                  3
11a1                 1369                 1369.0000            34225.0000           907                  3
11a1                 25                   25.0000              25.0000              919                  3
