Data for fields of degree 3, prime conductor < 10000 with curve 42a1
Curve label          ZZ(#Sha(E/K))        #Sha(E/K)            ell_chi              Field conductor      Field degree        
42a1                 1                    1.0000               1.0000               13                   3
42a1                 0                    -0.0000              -0.0000              19                   3
42a1                 1                    1.0000               64.0000              31                   3
42a1                 9                    9.0000               9.0000               37                   3
42a1                 0                    0.0000               0.0000               43                   3
42a1                 1                    1.0000               4.0000               61                   3
42a1                 1                    1.0000               4.0000               67                   3
42a1                 4                    4.0000               16.0000              73                   3
42a1                 25                   25.0000              25.0000              79                   3
42a1                 1                    1.0000               1.0000               97                   3
42a1                 9                    9.0000               36.0000              103                  3
42a1                 4                    4.0000               256.0000             109                  3
42a1                 1                    1.0000               64.0000              127                  3
42a1                 49                   49.0000              49.0000              139                  3
42a1                 1                    1.0000               4.0000               151                  3
42a1                 9                    9.0000               576.0000             157                  3
42a1                 144                  144.0000             144.0000             163                  3
42a1                 16                   16.0000              16.0000              181                  3
42a1                 9                    9.0000               36.0000              193                  3
42a1                 9                    9.0000               9.0000               199                  3
42a1                 81                   81.0000              81.0000              211                  3
42a1                 9                    9.0000               576.0000             223                  3
42a1                 16                   16.0000              1024.0000            229                  3
42a1                 81                   81.0000              81.0000              241                  3
42a1                 49                   49.0000              196.0000             271                  3
42a1                 9                    9.0000               576.0000             277                  3
42a1                 1                    1.0000               64.0000              283                  3
42a1                 1                    1.0000               256.0000             307                  3
42a1                 64                   64.0000              64.0000              313                  3
42a1                 0                    -0.0000              -0.0000              331                  3
42a1                 16                   16.0000              16.0000              337                  3
42a1                 16                   16.0000              16.0000              349                  3
42a1                 0                    -0.0000              -0.0000              367                  3
42a1                 256                  256.0000             256.0000             373                  3
42a1                 49                   49.0000              49.0000              379                  3
42a1                 16                   16.0000              1024.0000            397                  3
42a1                 9                    9.0000               9.0000               409                  3
42a1                 16                   16.0000              16.0000              421                  3
42a1                 9                    9.0000               576.0000             433                  3
42a1                 1                    1.0000               256.0000             439                  3
42a1                 1                    1.0000               64.0000              457                  3
42a1                 196                  196.0000             196.0000             463                  3
42a1                 0                    0.0000               0.0000               487                  3
42a1                 4                    4.0000               1024.0000            499                  3
