124 10*a-4 ['?', 2, -2, 2, 4, -4, 4, -4, -2, -2, '?', '?', -6, -6, 12, -4, 6, -2, -8, 0, 0, 16, 10, -6]
124 10*a-6 ['?', 2, -2, 2, -4, 4, -4, 4, -2, -2, '?', '?', -6, -6, -4, 12, -2, 6, 0, -8, 16, 0, -6, 10]
144 12 ['?', '?', -4, 10, 2, 2, 0, 0, 0, 0, -8, -8, 2, 2, -10, -10, 2, 2, 12, 12, 0, 0, 10, 10]
145 11*a-8 [-2, 3, '?', 8, 5, -2, -8, -1, '?', '?', -3, -10, 7, 0, 4, -3, -8, 13, -12, 2, -4, 10, 6, 13]
145 11*a-3 [-2, 3, '?', 8, -2, 5, -1, -8, '?', '?', -10, -3, 0, 7, -3, 4, 13, -8, 2, -12, 10, -4, 13, 6]
155 a-13 [-3, 2, '?', 2, -4, 4, -4, 4, -2, -2, '?', '?', -6, -6, -4, 12, -2, 6, 0, -8, 16, 0, -6, 10]
164 2*a-14 ['?', -4, -1, -6, 5, -2, -1, 6, 9, 2, 4, -10, '?', '?', 4, -3, -8, 6, 9, -12, -4, -11, -8, -1]
179 -12*a+5 [1, 0, 0, -5, 3, -5, -4, 1, 5, 7, 1, 2, -3, -6, -4, 8, -11, -10, 10, 12, 0, 12, 4, 4]
179 12*a-7 [1, 0, 0, -5, -5, 3, 1, -4, 7, 5, 2, 1, -6, -3, 8, -4, -10, -11, 12, 10, 12, 0, 4, 4]
180 12*a-6 ['?', '?', '?', 10, 2, 2, 0, 0, 0, 0, -8, -8, 2, 2, -10, -10, 2, 2, 12, 12, 0, 0, 10, 10]
180 12*a-6 ['?', '?', '?', -14, -4, -4, 4, 4, -2, -2, 0, 0, 10, 10, -4, -4, -2, -2, -8, -8, 0, 0, -6, -6]
196 14 ['?', 5, -4, '?', -3, -3, 0, 0, 5, 5, 2, 2, 2, 2, -10, -10, -8, -8, -8, -8, 5, 5, 0, 0]
199 3*a+13 [0, 0, 1, 5, -3, 2, 0, 5, 0, 0, 2, -8, -3, -8, 10, -5, 7, 2, 2, -3, -10, 10, -10, 0]
199 -3*a+16 [0, 0, 1, 5, 2, -3, 5, 0, 0, 0, -8, 2, -8, -3, -5, 10, 2, 7, -3, 2, 10, -10, 0, -10]
205 13*a-9 [3, -4, '?', 4, 0, -2, 4, -4, -6, -8, -6, 10, '?', '?', 4, 12, 2, 6, 4, -2, -4, -16, -8, -6]
205 13*a-4 [3, -4, '?', 4, -2, 0, -4, 4, -8, -6, 10, -6, '?', '?', 12, 4, 6, 2, -2, 4, -16, -4, -6, -8]
205 13*a-4 [-2, -4, '?', -6, -2, 5, 6, -1, 2, 9, -10, 4, '?', '?', -3, 4, 6, -8, -12, 9, -11, -4, -1, -8]
205 13*a-9 [-2, -4, '?', -6, 5, -2, -1, 6, 9, 2, 4, -10, '?', '?', 4, -3, -8, 6, 9, -12, -4, -11, -8, -1]
209 a-15 [-2, 2, 4, -12, '?', '?', '?', '?', 7, 1, -5, -2, -11, -3, -3, 10, 8, -2, 12, -13, 4, -10, -14, 10]
209 -a-14 [-2, 2, 4, -12, '?', '?', '?', '?', 1, 7, -2, -5, -3, -11, 10, -3, -2, 8, -13, 12, -10, 4, 10, -14]
220 2*a+14 ['?', -2, '?', 14, '?', '?', 8, -4, -6, 6, 8, -4, -6, 6, -12, 0, -10, 2, 0, 0, -4, 8, -18, 6]
220 -2*a+16 ['?', -2, '?', 14, '?', '?', -4, 8, 6, -6, -4, 8, 6, -6, 0, -12, 2, -10, 0, 0, 8, -4, 6, -18]
225 15 [-3, '?', '?', -14, -4, -4, 4, 4, -2, -2, 0, 0, 10, 10, -4, -4, -2, -2, -8, -8, 0, 0, -6, -6]
239 a+15 [1, -1, 1, -6, -5, 3, -2, 5, -2, 0, -4, 1, 9, -2, 11, 14, -14, 5, -8, -6, 2, -3, 9, -4]
239 a-16 [1, -1, 1, -6, 3, -5, 5, -2, 0, -2, 1, -4, -2, 9, 14, 11, 5, -14, -6, -8, -3, 2, -4, 9]
244 14*a-6 ['?', 5, 0, 8, -4, 3, 6, -6, 9, -8, -3, 0, 0, -10, 1, -10, '?', '?', -10, -7, 8, -13, 13, -4]
244 14*a-8 ['?', 5, 0, 8, 3, -4, -6, 6, -8, 9, 0, -3, -10, 0, -10, 1, '?', '?', -7, -10, -13, 8, -4, 13]
245 14*a-7 [0, 5, '?', '?', -3, -3, 0, 0, 5, 5, 2, 2, 2, 2, -10, -10, -8, -8, -8, -8, 5, 5, 0, 0]
256 16 ['?', 2, -2, 10, -4, -4, 4, 4, -2, -2, 0, 0, 2, 2, 12, 12, -10, -10, 8, 8, -16, -16, -6, -6]
275 15*a-10 [-1, -2, '?', 14, '?', '?', -4, 8, 6, -6, -4, 8, 6, -6, 0, -12, 2, -10, 0, 0, 8, -4, 6, -18]
275 15*a-5 [-1, -2, '?', 14, '?', '?', 8, -4, -6, 6, 8, -4, -6, 6, -12, 0, -10, 2, 0, 0, -4, 8, -18, 6]
279 15*a-9 [-3, '?', -2, 2, -4, 4, -4, 4, -2, -2, '?', '?', -6, -6, -4, 12, -2, 6, 0, -8, 16, 0, -6, 10]
279 15*a-6 [-3, '?', -2, 2, 4, -4, 4, -4, -2, -2, '?', '?', -6, -6, 12, -4, 6, -2, -8, 0, 0, 16, 10, -6]
304 -16*a+4 ['?', 1, -3, -4, -6, 3, '?', '?', -6, 3, 5, 5, 6, 6, 6, -12, 8, 8, -9, 0, -1, -1, 9, 0]
304 -16*a+12 ['?', -5, 1, 0, -3, 2, '?', '?', 5, -10, 7, -3, 2, 2, 0, 10, -8, 12, -8, 7, 5, 15, 0, -15]
304 -16*a+12 ['?', 1, -3, -4, 3, -6, '?', '?', 3, -6, 5, 5, 6, 6, -12, 6, 8, 8, 0, -9, -1, -1, 0, 9]
304 -16*a+4 ['?', -5, 1, 0, 2, -3, '?', '?', -10, 5, -3, 7, 2, 2, 10, 0, 12, -8, 7, -8, 15, 5, -15, 0]
